Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_Media_Ens,TMIN_Media_Ens,TMEDIA_Media_Ens,Prec_Media_Ens,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-01-01,34.7,21.2,6.25,27.244,,,,,,,,,,,,,,,,,,,,,25.244,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-02,30.2,17.1,0.75,22.403,,,,,,,,,,,,,,,,,,,,,20.403,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-03,23.5,14.9,0.0,19.231,,,,,,,,,,,,,,,,,,,,,17.231,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-04,27.6,9.0,0.0,18.846,,,,,,,,,,,,,,,,,,,,,16.846,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-05,29.9,12.2,0.0,21.458,,,,,,,,,,,,,,,,,,,,,19.458,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-06,32.6,17.0,0.0,24.978,,,,,,,,,,,,,,,,,,,,,22.978,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-07,31.7,18.7,0.0,24.854,,,,,,,,,,,,,,,,,,,,,22.854,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-08,26.0,11.2,0.0,19.81,,,,,,,,,,,,,,,,,,,,,17.81,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-09,25.2,17.9,2.75,21.34,,,,,,,,,,,,,,,,,,,,,19.34,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-10,28.4,17.8,0.0,21.72,,,,,,,,,,,,,,,,,,,,,19.72,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-11,36.4,16.2,0.0,25.851,,,,,,,,,,,,,,,,,,,,,23.851,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-12,38.0,19.0,0.0,28.865,,,,,,,,,,,,,,,,,,,,,26.865,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-13,35.0,21.4,0.0,28.973,,,,,,,,,,,,,,,,,,,,,26.973,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-14,36.5,21.2,0.0,28.584,,,,,,,,,,,,,,,,,,,,,26.584,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-15,32.4,21.9,0.25,25.744,,,,,,,,,,,,,,,,,,,,,23.744,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
2026-01-16,32.8,19.1,0.25,24.884,,,,,,,,,,,,,,,,,,,,,22.884,SIGA_INTA_SAN_PEDRO_A872890,Observado,Observado_estacion,,,,,2026-09-19T20:55:46+00:00
