Campana,Julian_days,Progreso
2025,1,0
2025,2,0
2025,3,0
2025,4,0
2025,5,0
2025,6,0
2025,7,0
2025,8,0
2025,9,0
2025,10,0
2025,11,0
2025,12,0
2025,13,0
2025,14,0
2025,15,0
2025,16,0
2025,17,0
2025,18,0
2025,19,0
2025,20,0
2025,21,0
2025,22,0
2025,23,0
2025,24,0
2025,25,0
2025,26,0
2025,27,0
2025,28,0
2025,29,0
2025,30,0
2025,31,0
2025,32,0
2025,33,0.00158098474966655
2025,34,0.00474295424899965
2025,35,0.00948590849799929
2025,36,0.0158098474966655
2025,37,0.0237147712449982
2025,38,0.0332006797429975
2025,39,0.0442675729906634
2025,40,0.0569154509879957
2025,41,0.0711443137349947
2025,42,0.0869541612316602
2025,43,0.104344993477992
2025,44,0.123316810473991
2025,45,0.143869612219656
2025,46,0.166003398714988
2025,47,0.189718169959986
2025,48,0.215013925954651
2025,49,0.241890666698982
2025,50,0.27034839219298
2025,51,0.297027509843603
2025,52,0.321928019650851
2025,53,0.345049921614724
2025,54,0.366393215735223
2025,55,0.385957902012346
2025,56,0.403743980446095
2025,57,0.419751451036469
2025,58,0.433980313783468
2025,59,0.446430568687092
2025,60,0.457102215747341
2025,61,0.465995254964215
2025,62,0.473109686337715
2025,63,0.478445509867839
2025,64,0.482002725554589
2025,65,0.483781333397964
2025,66,0.483781333397964
2025,67,0.485627696773752
2025,68,0.489320423525327
2025,69,0.494859513652689
2025,70,0.50224496715584
2025,71,0.511476784034778
2025,72,0.522554964289503
2025,73,0.535479507920017
2025,74,0.550250414926317
2025,75,0.566867685308406
2025,76,0.585331319066282
2025,77,0.603197624755827
2025,78,0.620466602377043
2025,79,0.637138251929929
2025,80,0.653212573414484
2025,81,0.668689566830709
2025,82,0.683569232178604
2025,83,0.697851569458169
2025,84,0.711536578669404
2025,85,0.724624259812308
2025,86,0.737114612886883
2025,87,0.749007637893127
2025,88,0.760303334831041
2025,89,0.771001703700625
2025,90,0.781102744501879
2025,91,0.790606457234802
2025,92,0.799512841899396
2025,93,0.807821898495659
2025,94,0.815533627023593
2025,95,0.822648027483196
2025,96,0.82980007076397
2025,97,0.836989756865914
2025,98,0.84421708578903
2025,99,0.851482057533317
2025,100,0.858784672098774
2025,101,0.866124929485402
2025,102,0.873502829693201
2025,103,0.880918372722171
2025,104,0.888371558572312
2025,105,0.895862387243624
2025,106,0.903390858736106
2025,107,0.91095697304976
2025,108,0.918560730184584
2025,109,0.926202130140579
2025,110,0.933881172917745
2025,111,0.941597858516082
2025,112,0.94935218693559
2025,113,0.957144158176268
2025,114,0.964286798480224
2025,115,0.970780107847456
2025,116,0.976624086277965
2025,117,0.98181873377175
2025,118,0.986364050328813
2025,119,0.990260035949152
2025,120,0.993506690632768
2025,121,0.996104014379661
2025,122,0.998052007189831
2025,123,0.999350669063277
2025,124,1
2025,125,1
2025,126,1
2025,127,1
2025,128,1
2025,129,1
2025,130,1
2025,131,1
2025,132,1
2025,133,1
2025,134,1
2025,135,1
2025,136,1
2025,137,1
2025,138,1
2025,139,1
2025,140,1
2025,141,1
2025,142,1
2025,143,1
2025,144,1
2025,145,1
2025,146,1
2025,147,1
2025,148,1
2025,149,1
2025,150,1
2025,151,1
2025,152,1
2025,153,1
2025,154,1
2025,155,1
2025,156,1
2025,157,1
2025,158,1
2025,159,1
2025,160,1
2025,161,1
2025,162,1
2025,163,1
2025,164,1
2025,165,1
2025,166,1
2025,167,1
2025,168,1
2025,169,1
2025,170,1
2025,171,1
2025,172,1
2025,173,1
2025,174,1
2025,175,1
2025,176,1
2025,177,1
2025,178,1
2025,179,1
2025,180,1
2025,181,1
2025,182,1
2025,183,1
2025,184,1
2025,185,1
2025,186,1
2025,187,1
2025,188,1
2025,189,1
2025,190,1
2025,191,1
2025,192,1
2025,193,1
2025,194,1
2025,195,1
2025,196,1
2025,197,1
2025,198,1
2025,199,1
2025,200,1
2025,201,1
2025,202,1
2025,203,1
2025,204,1
2025,205,1
2025,206,1
2025,207,1
2025,208,1
2025,209,1
2025,210,1
2025,211,1
2025,212,1
2025,213,1
2025,214,1
2025,215,1
2025,216,1
2025,217,1
2025,218,1
2025,219,1
2025,220,1
2025,221,1
2025,222,1
2025,223,1
2025,224,1
2025,225,1
2025,226,1
2025,227,1
2025,228,1
2025,229,1
2025,230,1
2025,231,1
2025,232,1
2025,233,1
2025,234,1
2025,235,1
2025,236,1
2025,237,1
2025,238,1
2025,239,1
2025,240,1
2025,241,1
2025,242,1
2025,243,1
2025,244,1
2025,245,1
2025,246,1
2025,247,1
2025,248,1
2025,249,1
2025,250,1
2025,251,1
2025,252,1
2025,253,1
2025,254,1
2025,255,1
2025,256,1
2025,257,1
2025,258,1
2025,259,1
